kd_kel;kd_kec;nm_kel
3674011001;367401;Ciater
3674011002;367401;Rawabuntu
3674011003;367401;Rawa Mekarjaya
3674011004;367401;Lengkong Gudang
3674011005;367401;Lengkong Wetan
3674011006;367401;Buaran
3674011007;367401;Lengkong Gudang  Timur
3674011008;367401;Cilenggang
3674011009;367401;Serpong
3674021001;367402;Pakulonan
3674021002;367402;Pakualam
3674021003;367402;Pakujaya
3674021004;367402;Pondok Jagung
3674021005;367402;Pondok Jagung Timur
3674021006;367402;Jelupang
3674021007;367402;Lengkong Karya
3674031001;367403;Pondok Betung
3674031002;367403;Pondok Pucung
3674031003;367403;Pondok Karya
3674031004;367403;Pondok Jaya
3674031005;367403;Pondok Aren
3674031006;367403;Pondok Kacang Barat
3674031007;367403;Pondok Kacang Timur
3674031008;367403;Parigi
3674031009;367403;Parigi Baru
3674031010;367403;urangmangu Barat
3674031011;367403;urangmangu Timur
3674041001;367404;Sawah Baru
3674041002;367404;Serua
3674041003;367404;Ciputat
3674041004;367404;Sawah Lama
3674041005;367404;Serua Indah
3674041006;367404;Jombang
3674041007;367404;Cipayung
3674051001;367405;Cempaka Putih
3674051002;367405;Pondok Ranji
3674051003;367405;Pisangan
3674051004;367405;Cireundeu
3674051005;367405;Rempoa
3674051006;367405;Rengas
3674061001;367406;Pamulang Barat
3674061002;367406;BendaBaru
3674061003;367406;Pondok Benda
3674061004;367406;Pondok Cabe Udik
3674061005;367406;Pondok Cabe Ilir
3674061006;367406;Kedaung
3674061007;367406;Bambuapus
3674061008;367406;Pamulang Timur
3674071001;367407;Muncul
3674071002;367407;Setu
3674071003;367407;Keranggan
3674071004;367407;Kademangan
3674071005;367407;Babakan
3674071006;367407;Bakti Jaya
3671011001;367101;Sukarasa
3671011002;367101;Sukaasih
3671011003;367101;Tanah Tinggi
3671011004;367101;Buaran Indah
3671011005;367101;Cikokol
3671011006;367101;Kelapa Indah
3671011007;367101;Sukasari
3671011008;367101;Babakan
3671021001;367102;Keroncong
3671021002;367102;Jatake
3671021003;367102;Pasir Jaya
3671021004;367102;Gandasari
3671021005;367102;Manis Jaya
3671021006;367102;Alam Jaya
3671031001;367103;Batuceper
3671031002;367103;Batujaya
3671031003;367103;Poris Gaga
3671031004;367103;Poris Gaga Baru
3671031005;367103;Kebon Besar
3671031006;367103;Batusari
3671031007;367103;Poris Jaya
3671041001;367104;Belendung
3671041002;367104;Jurumudi
3671041003;367104;Benda
3671041004;367104;Pajang
3671041005;367104;Jurumudi Baru
3671051001;367105;Cipondoh
3671051002;367105;Cipondoh Makmur
3671051003;367105;Cipondoh Indah
3671051004;367105;Gondrong
3671051005;367105;Kenanga
3671051006;367105;Petir
3671051007;367105;Ketapang
3671051008;367105;Poris Plawad
3671051009;367105;Poris Plawad Utara
3671051010;367105;Poris Plawad Indah
3671061001;367106;Paninggilan
3671061002;367106;SudimaraBarat
3671061003;367106;SudimaraTimur
3671061004;367106;Tajur
3671061005;367106;Parung Serab
3671061006;367106;SudimaraJaya
3671061007;367106;SudimaraSelatan
3671061008;367106;Paninggilan Utara
3671071001;367107;Karawaci
3671071002;367107;Bojong Jaya
3671071003;367107;KarawaciBaru
3671071004;367107;Nusa Jaya
3671071005;367107;Cimone
3671071006;367107;Cimone Jaya
3671071007;367107;Pabuaran
3671071008;367107;Sumur Pacing
3671071009;367107;Bugel
3671071010;367107;Margasari
3671071011;367107;Pabuaran Tumpeng
