kd_kel,kd_kec,nm_kel
3601012001,360101,SUMBER JAYA
3601012002,360101,KERTAJAYA
3601012003,360101,KERTAMUKTI
3601012004,360101,TUNGGALJAYA
3601012005,360101,CIGORONDONG
3601012006,360101,TAMANJAYA
3601012007,360101,UJUNGJAYA
3601022001,360102,RANCAPINANG
3601022002,360102,CIBADAK
3601022003,360102,TUGU
3601022004,360102,BATUHIDEUNG
3601022005,360102,PADASUKA
3601022006,360102,CIBURIAL
3601022007,360102,CIJARALANG
3601022008,360102,CIMANGGU
3601022009,360102,MANGKUALAM
3601022010,360102,TANGKIL SARI
3601022011,360102,WARINGIN KURUNG
3601022012,360102,KRAMAT JAYA
3601032001,360103,MENDUNG
3601032006,360103,SUDIMANIK
3601032007,360103,CURUG
3601032008,360103,CIBINGBIN
3601032009,360103,SUKAJADI
3601032011,360103,MAHENDRA
3601032012,360103,CIBALIUNG
3601032015,360103,CIHANJUANG
3601032016,360103,SORONGAN
3601042001,360104,TANJUNGAN
3601042002,360104,SUMURBATU
3601042003,360104,SUKAWARIS
3601042004,360104,RANCASENENG
3601042005,360104,PARUNGKOKOSAN
3601042006,360104,NANGGALA
3601042007,360104,CIKEUSIK
3601042008,360104,CIKADONGDONG
3601042009,360104,CURUGCIUNG
3601042010,360104,LEUWIBALANG
3601042011,360104,SUKASENENG
3601042012,360104,SUKAMULYA
3601042013,360104,UMBULAN
3601042014,360104,CIKIRUHWETAN
3601052001,360105,KARANGBOLONG
3601052002,360105,KATUMBIRI
3601052003,360105,WARINGINJAYA
3601052004,360105,KARYABUANA
3601052005,360105,TARUNANAGARA
3601052006,360105,CISEUREUHEUN
3601052007,360105,BANYUASIH
3601052009,360105,CIGEULIS
3601052010,360105,SINARJAYA
3601062001,360106,PANIMBANGJAYA
3601062002,360106,MEKARJAYA
3601062004,360106,GOMBONG
3601062009,360106,MEKARJAYA
3601062011,360106,CITEUREUP
3601062012,360106,TANJUNGJAYA
3601072001,360107,ANGSANA
3601072002,360107,PADAHERANG
3601072003,360107,PADAMULYA
3601072004,360107,KARANGSARI
3601072005,360107,CIKAYAS
3601072006,360107,SUMURLABAN
3601072007,360107,KADUBADAK
3601072009,360107,CIPINANG
3601072010,360107,KRAMATMANIK
3601082001,360108,PASANGGRAHAN
3601082002,360108,SUKASABA
3601082005,360108,GUNUNGBATU
3601082006,360108,PANACARAN
3601082007,360108,CURUGLANGLANG
3601082008,360108,MUNJUL
3601082009,360108,CIBITUNG
3601082011,360108,KOTADUKUH
3601092001,360109,SUKADAME
3601092002,360109,PAGELARAN
3601092003,360109,SURAKARTA
3601092004,360109,MONTOR
3601092005,360109,KERTASANA
3601092006,360109,BAMA
3601092007,360109,MARGASANA
3601092008,360109,SIDANGLAYA
3601092009,360109,TEGALPAPAK
3601092010,360109,BULAGOR
3601092011,360109,HARAPAN KARYA
3601092012,360109,SENANGSARI
3601092013,360109,MARGAGIRI
3601102001,360110,MEKARSARI
3601102002,360110,CIJAKAN
3601102003,360110,GEREDUG
3601102004,360110,BOJONG
3601102005,360110,BANYUMAS
3601102006,360110,CITUMENGGUNG
3601102007,360110,MANGGUNGJAYA
3601102008,360110,CAHAYAMEKAR
3601112001,360111,PASIRSEDANG
3601112002,360111,CILILITAN
3601112003,360111,KADUPANDAK
3601112004,360111,KOLELET
3601112005,360111,CIHERANG
3601112006,360111,BUNGURCOPONG
3601112007,360111,PASIRPANJANG
3601112008,360111,KADUBERA
3601112009,360111,GANGGAENG
3601122001,360112,RANCA TEUREUP
3601122002,360112,LABUAN
3601122003,360112,BANYUBIRU
3601122004,360112,CARINGIN
3601122010,360112,TELUK
3601122012,360112,CIGONDANG
3601122013,360112,KALANGANYAR
3601122014,360112,SUKAMAJU
3601122015,360112,BANYUMEKAR
3601132001,360113,ALASWANGI
3601132002,360113,TEGALWANGI
3601132003,360113,KANANGA
3601132004,360113,CIGANDENG
3601132005,360113,MENES
3601132006,360113,MURUY
3601132010,360113,SUKAMANAH
3601132011,360113,PURWARAJA
3601132012,360113,SIDANGKARYA
3601132013,360113,CILABANBULAN
3601132015,360113,KADUPAYUNG
3601132016,360113,RAMAYA
3601142001,360114,LANGENSARI
3601142002,360114,MEDALSARI
3601142003,360114,MAJAU
3601142004,360114,SODONG
3601142005,360114,TELAGASARI
3601142006,360114,CIANDUR
3601142007,360114,KADUDAMPIT
3601142008,360114,WANAGIRI
3601142009,360114,PARIGI
3601142010,360114,MEKARWANGI
3601142011,360114,SAKETI
3601142012,360114,GIRIJAYA
3601142013,360114,SIDANGHAYU
3601142014,360114,SUKALANGU
3601152001,360115,PALANYAR
3601152002,360115,BATURANJANG
3601152003,360115,CIKADUEUN
3601152004,360115,KONCANG
3601152005,360115,KADUGADUNG
3601152006,360115,PARUMASAN
3601152007,360115,CURUGBARANG
3601152008,360115,KALANGGUNUNG
3601152009,360115,PASIREURIH
3601152010,360115,PASIRMAE
3601162001,360116,PAMARAYAN
3601162002,360116,JIPUT
3601162003,360116,SUKACAI
3601162004,360116,TENJOLAHANG
3601162005,360116,JANAKA
3601162006,360116,SIKULAN
3601162007,360116,CITAMAN
3601162008,360116,JAYAMEKAR
3601162011,360116,SUKAMANAH
3601162012,360116,SALAPRAYA
3601162013,360116,BANYURESMI
3601162014,360116,SAMPANGBITUNG
3601162015,360116,BABADSARI
3601172001,360117,PANDAT
3601172002,360117,CIKONENG
3601172003,360117,NEMBOL
3601172004,360117,KURUNGKAMBING
3601172005,360117,MANDALAWANGI
3601172006,360117,SINARJAYA
3601172007,360117,SIRNAGALIH
3601172008,360117,CIKUMBUEN
3601172009,360117,RAMEA
3601172010,360117,GUNUNGSARI
3601172011,360117,PANJANGJAYA
3601172012,360117,GIRIPAWANA
3601172013,360117,MANDALASARI
3601172014,360117,CURUGLEMO
3601172015,360117,P A R I
3601182001,360118,CIMANUK
3601182002,360118,BATUBANTAR
3601182003,360118,KADUBUNGBANG
3601182004,360118,KUPAHANDAP
3601182005,360118,DALEMBALAR
3601182006,360118,KADUMADANG
3601182007,360118,ROCEK
3601182008,360118,KADUDODOL
3601182010,360118,GUNUNGDATAR
3601182013,360118,SEKONG
3601182015,360118,GUNUNGCUPU
3601192001,360119,CAMPAKA
3601192002,360119,BAYUMUNDU
3601192003,360119,MANDALASARI
3601192004,360119,SUKASARI
3601192005,360119,SANINTEN
3601192006,360119,PALURAHAN
3601192007,360119,SUKAMANAH
3601192008,360119,KADUGEMBLO
3601192009,360119,BANJARSARI
3601132010,360119,CIPUTRI
3601202002,360120,CINTALAHAB
3601202004,360120,KADULIMUS
3601202005,360120,BANDUNG
3601202006,360120,MOGANA
3601202007,360120,BANJAR
3601202008,360120,GUNUNGPUTRI
3601202009,360120,CIPUTRI
3601202011,360120,CIBODAS
3601202012,360120,KADUBALE
3601202013,360120,CIBEUREUM
3601202014,360120,KADUMANEUH
3601202015,360120,PASIRAWI
3601211002,360121,KADOMAS
3601211003,360121,BABAKAN KALANGANYAR
3601211004,360121,KABAYAN
3601211009,360121,PANDEGLANG
3601222001,360122,KADEUNGANG
3601222002,360122,PASIRPEUTEUY
3601222003,360122,KURUNGDAHU
3601222004,360122,KADUELA
3601222005,360122,KORANJI
3601222006,360122,TAPOS
3601222007,360122,CADASARI
3601222008,360122,CIINJUK
3601222009,360122,KAUNGCAANG
3601222010,360122,CIKENTRUNG
3601222013,360122,TANAGARA
3601232001,360123,RAWASARI
3601232002,360123,PASIREURIH
3601232003,360123,KADURONYOK
3601232004,360123,CIBARANI
3601232005,360123,CISEREH
3601232006,360123,KUBANGKONDANG
3601232007,360123,KONDANGJAYA
3601232008,360123,CIHERANGJAYA
3601232009,360123,PALEMBANG
3601242006,360124,TURUS
3601242008,360124,PATIA
3601242009,360124,PASIRGADUNG
3601242010,360124,CIMOYAN
3601242011,360124,IDAMAN
3601242014,360124,BABAKANKEUSIK
3601242015,360124,SURIANEUN
3601242017,360124,RAHAYU
3601242018,360124,CIAWI
3601242020,360124,SIMIPANG TIGA
3601251001,360125,KADUMERAK
3601251002,360125,CIGADUNG
3601251003,360125,PAGADUNGAN
3601262001,360126,KARYASARI
3601262002,360126,TEGAL
3601262003,360126,CIPICUNG
3601262004,360126,D A H U
3601262005,360126,BABAKANLOR
3601262006,360126,KARYAUTAMA
3601262007,360126,MEKARJAYA
3601262008,360126,PADAHAYU
3601262009,360126,CENING
3601262010,360126,BANGKUYUNG
3601272001,360127,Sindangkerta
3601272002,360127,Manglid
3601272003,360127,Cikiruh
3601272004,360127,Cikadu
3601272005,360127,Kiarapayung
3601272006,360127,Kutakarang
3601272007,360127,Citeluk
3601272008,360127,Kiarajangkung
3601272009,360127,Cikalong
3601272010,360127,Malangnengah
3601282001,360128,Banjarmasin
3601282002,360128,Carita
3601282003,360128,Sukarame
3601282004,360128,Sukanegara
3601282005,360128,Cinoyong
3601282006,360128,Pejamben
3601282007,360128,Sukajadi
3601282008,360128,Kawoyang
3601282009,360128,Tembong
3601282010,360128,Sindanglaut
3601292001,360129,Seuseupan
3601292002,360129,Karyasari
3601292003,360129,Perdana
3601292004,360129,Sukaresmi
3601292005,360129,Pasirkadu
3601292006,360129,Kubangkampil
3601292007,360129,Sidamukti
3601292008,360129,Cibungur
3601292009,360129,Weru
3601292010,360129,Cikuya
3601302001,360130,Kadubelang
3601302002,360130,Pareang
3601302003,360130,Warasinga
3601302004,360130,Rancabugel
3601302005,360130,Kadujangkung
3601302006,360130,Medong
3601302007,360130,Sukamulya
3601302008,360130,Mekarjaya
3601312001,360131,Ciodeng
3601312002,360131,Pasirtenjo
3601312003,360131,Bojongmanik
3601312004,360131,Cempakawarna
3601312005,360131,Pasirloa
3601312006,360131,Pasirlancar
3601312007,360131,Sidangresmi
3601312008,360131,Pasirdurung
3601312009,360131,Kadumalati
3601322001,360132,Koranji
3601322002,360132,Banjarwangi
3601322003,360132,Sukasari
3601322004,360132,Karyawangi
3601322005,360132,Sukaraja
3601322006,360132,Kaduhejo
3601322007,360132,Banjarnegara
3601322008,360132,Sanghiangdengdek
3601322009,360132,Cilentung
3601332001,360133,Sukajaya
3601332002,360133,Awilega
3601332003,360133,Gerendong
3601332004,360133,Koroncong
3601332005,360133,Pakuluran
3601332006,360133,Setrajaya
3601332007,360133,Karangsetra
3601332008,360133,Paniis
3601332009,360133,Bangkonol
3601332010,360133,Pasirjaksa
3601332011,360133,Pasirkarag
3601332012,360133,Tegalongok
3601341001,360134,Sukaratu
3601341002,360134,Karaton
3601341003,360134,Saruni
3601341004,360134,Pagerbatu
3601341005,360134,Cilaja
3601352001,360135,Cimanis
3601352002,360135,Teluklada
3601352003,360135,Kertaraharja
3601352004,360135,Bojen
3601352005,360135,Kutamekar
3601352006,360135,Sobang
3601352007,360135,Pangkalan
3601352008,360135,Bojenwetan
3602012002,360201,CILANGKAHAN
3602012003,360201,PAGELARAN
3602012004,360201,SUKARAJA
3602012005,360201,MALINGPING UTARA
3602012006,360201,BOLANG
3602012009,360201,CIPEUNDEUY
3602012013,360201,RAHONG
3602012014,360201,KADUJAJAR
3602012016,360201,KERSARATU
3602012018,360201,MALINGPING SELATAN
3602012019,360201,SUMBERWARAS
3602012023,360201,SUKAMANAH
3602012024,360201,SENANGHATI
3602012026,360201,SANGIANG
3602022002,360202,PANGGARANGAN
3602022003,360202,JATAKE
3602022004,360202,SOGONG
3602022005,360202,CIMANDIRI
3602022009,360202,GUNUNGGEDE
3602022010,360202,SITURAGEN
3602022011,360202,MEKARJAYA
3602022014,360202,SINDANGRATU
3602022017,360202,HEGARMANAH
3602022018,360202,SUKAJADI
3602022019,360202,CIBARENGOK
3602032001,360203,BAYAH BARAT
3602032002,360203,SAWARNA
3602032006,360203,CIDIKIT
3602032007,360203,SUWAKAN
3602032008,360203,CIMANCAK
3602032011,360203,DARMASARI
3602032013,360203,BAYAH TIMUR
3602032014,360203,CISUREN
3602032016,360203,PASIRGOMBONG
3602032017,360203,Sawarna Timur
3602032018,360203,Pamubulan
3602042002,360204,CIPANAS
3602042003,360204,GIRILAYA
3602042004,360204,MALANGSARI
3602042005,360204,BINTANGRESMI
3602042006,360204,TALAGAHIANG
