kd_kel;kd_kec;nm_kel
3101011001;310101;Pulau Panggang
3101011002;310101;Pulau Kelapa
3101011003;310101;Pulau Harapan
3101021001;310102;Pulau Untung Jawa
3101021002;310102;Pulau Tidung
3101021003;310102;Pulau Pari
3175011001;317501;Pisangan Baru
3175011002;317501;Utan Kayu Utara
3175011003;317501;Kayu Manis
3175011004;317501;Palmeriam
3175011005;317501;Kebon Manggis
3175011006;317501;Utan Kayu Selatan
3175021001;317502;Pulo Gadung
3175021002;317502;Pisangan Timur
3175021003;317502;Cipinang
3175021004;317502;Jatinegara Kaum
3175021005;317502;Rawamangun
3175021006;317502;Kayu Putih
3175021007;317502;Jati
3175031001;317503;Kampung Melayu
3175031002;317503;Bidara Cina
3175031003;317503;Bali Mester
3175031004;317503;Rawa Bunga
3175031005;317503;Cipinang Cempedak
3175031006;317503;Cipinang Muara
3175031007;317503;Cipinang Besar Selatan
3175031008;317503;Cipinang Besar Utara
3175041001;317504;Kramatjati
3175041002;317504;Tengah
3175041003;317504;Dukuh
3175041004;317504;Batu Ampar
3175041005;317504;Balekambang
3175041006;317504;Cililitan
3175041007;317504;Cawang
3175051001;317505;Gedong
3175051002;317505;Baru
3175051003;317505;Cijantung
3175051004;317505;Kalisari
3175051005;317505;Pekayon
3175061001;317506;Jatinegara
3175061002;317506;Rawa Terate
3175061003;317506;Penggilingan
3175061004;317506;Cakung Timur
3175061005;317506;Pulo Gebang
3175061006;317506;Ujung Menteng
3175061007;317506;Cakung Barat
3175071001;317507;Duren Sawit
3175071002;317507;Pondok Bambu
3175071003;317507;Klender
3175071004;317507;Pondok Kelapa
3175071005;317507;Malaka Sari
3175071006;317507;Malaka Jaya
3175071007;317507;Pondok Kopi
3175081001;317508;Makasar
3175081002;317508;Pinangranti
3175081003;317508;Kebon Pala
3175081004;317508;Halim Perdana Kusuma
3175081005;317508;Cipinang Melayu
3175091001;317509;Ciracas
3175091002;317509;Cibubur
3175091003;317509;Kelapa Dua Wetan
3175091004;317509;Susukan
3175091005;317509;Rambutan
3175101001;317510;Cipayung
3175101002;317510;Cilangkap
3175101003;317510;Pondok Ranggon
