kd_kec;kd_kab;nm_kec
327501;3275;Bekasi Timur
327502;3275;Bekasi Barat
327503;3275;Bekasi Utara
327504;3275;Bekasi Selatan
327505;3275;Rawa Lumbu
327506;3275;Medan Satria
327507;3275;Bantar Gebang
327508;3275;Pondok Gede
327509;3275;Jatiasih
327510;3275;Jati Sempurna
327511;3275;Mustika Jaya
327512;3275;Pondok Melati
321601;3216;Tarumajaya
321602;3216;Babelan
321603;3216;Sukawangi
321604;3216;Tambelang
321605;3216;Tambun Utara
321606;3216;Tambun Selatan
321607;3216;Cibitung
321608;3216;Cikarang Barat
321609;3216;Cikarang Utara
321610;3216;Karang Bahagia
321611;3216;Cikarang Timur
321612;3216;Kedung Waringin
321613;3216;Pebayuran
321614;3216;Sukakarya
321615;3216;Sukatani
321616;3216;Cabangbungin
321617;3216;Muaragembong
321618;3216;Setu
321619;3216;Cikarang Selatan
321620;3216;Cikarang Pusat
321621;3216;Serang Baru
321622;3216;Cibarusah
321623;3216;Bojongmangu
