kd_kel;kd_kec;nm_kel
3216012001;321601;SagaraMakmur
3216012002;321601;Segarajaya
3216012003;321601;Pusaka Rakyat
3216012004;321601;Pahlawan Setia
3216012005;321601;SetiaMulya
3216012006;321601;SamudraJaya
3216012007;321601;SetiaAsih
3216012008;321601;Pantai Makmur
3216022001;321602;Bunibakti
3216022002;321602;Muarabakti
3216022003;321602;Kedung Pengawas
3216022004;321602;Hurip Jaya
3216022005;321602;Pantaihurip
3216021006;321602;Bahagia
3216021007;321602;Kebalen
3216022008;321602;Babelankota
3216022009;321602;Kedungjaya
3216032001;321603;Sukaringin
3216032002;321603;Sukabudi
3216032003;321603;Sukadaya
3216032004;321603;Sukawangi
3216032005;321603;Sukakerta
3216032006;321603;Sukatenang
3216032007;321603;Sukamekar
3216042001;321604;Sukawijaya
3216042002;321604;Sukamaju
3216042003;321604;Sukaraja
3216042004;321604;Sukarapih
3216042005;321604;Sukarahayu
3216042006;321604;Sukamantri
3216042007;321604;Sukabakti
3216052001;321605;Satriajaya
3216052002;321605;Jejalenjaya
3216052003;321605;Satriamekar
3216052004;321605;Sriamur
3216052005;321605;Srimukti
3216052006;321605;Srijaya
3216052007;321605;Srimahi
3216052008;321605;Karangsatria
3216061001;321606;Jatimulya
3216062002;321606;Lambangsari
3216062003;321606;Lambangjaya
3216062004;321606;Tambun
3216062005;321606;Setiadarma
3216062006;321606;Setiamekar
3216062007;321606;Mekarsari
3216062008;321606;Tridaya Sakti
3216062009;321606;Mangunjaya
3216062010;321606;Sumberjaya
3216071001;321607;Wanasari
3216072002;321607;Wanajaya
3216072003;321607;Kertamukti
3216072004;321607;Muktiwari
3216072005;321607;Sarimukti
3216072006;321607;Sukajaya
3216072007;321607;Cibuntu
3216082001;321608;Telagamurni
3216082002;321608;Mekarwangi
3216082003;321608;Jatiwangi
3216082004;321608;Danau Indah
3216082005;321608;Gandamekar
3216082006;321608;Gandasari
3216082007;321608;Sukadanau
3216081008;321608;Telaga Asih
3216082009;321608;Kalijaya
3216082010;321608;Telajung
3216082011;321608;ikedokan
3216092001;321609;Cikarangkota
3216092002;321609;Karangbaru
3216092003;321609;Karangasih
3216092004;321609;Waluya
3216092005;321609;Karangraharja
3216092006;321609;Pasirgombong
3216092007;321609;Simpangan
3216092008;321609;Tanjungsari
3216092009;321609;Hajarmekar
3216092010;321609;ekarmukti
3216092011;321609;angunharja
3216102001;321610;Sukaraya
3216102002;321610;Karangrahayu
3216102003;321610;Karangsetia
3216102004;321610;Karanganyar
3216102005;321610;Karangbahagia
3216102006;321610;Karangsentosa
3216102007;321610;Karangsatu
3216102008;321610;Karangmukti
3216112001;321611;Tanjungbaru
3216112002;321611;Cipayung
3216112003;321611;Hegarmanah
3216112004;321611;Jatireja
3216112005;321611;Jatibaru
3216112006;321611;Labansari
3216111007;321611;Sertajaya
3216112008;321611;Karangsari
3216122001;321612;Karangsambung
3216122002;321612;Waringinjaya
3216122003;321612;Karangmekar
3216122004;321612;Mekarjaya
3216122005;321612;Karangharum
3216122006;321612;Bojongsari
3216122007;321612;Kedungwaringin
3216132001;321613;Karangharja
3216132002;321613;Karangsegar
3216132003;321613;Sumberurip
3216132004;321613;Sumbereja
3216132005;321613;Karangreja
3216132006;321613;Karangjaya
3216132007;321613;Sumbersari
3216132008;321613;Karangpatri
3216132009;321613;Karanghaur
3216132010;321613;Kertajaya
3216131011;321613;Kertasari
3216132012;321613;Bantarsari
3216132013;321613;Bantarjaya
3216142001;321614;Sukamurni
3216142002;321614;Sukaindah
