kd_kel;kd_kec;nm_kel
3276011001;327601;Bojong Pondok  Terong
3276011002;327601;Ratu Jaya
3276011003;327601;Pondok Jaya
3276011004;327601;Cipayung
3276011005;327601;Cipayung Jaya
3276011006;327601;Depok
3276011007;327601;Depok Jaya
3276011008;327601;Pancoran Mas
3276011009;327601;Mampang
3276011010;327601;Rangkapan Jaya Baru
3276011011;327601;Rangkapan Jaya
3276021001;327602;Cilangkap
3276021002;327602;Cimpaeun
3276021003;327602;Tapos
3276021004;327602;Leuwinanggung
3276021005;327602;Sukamaju Baru
3276021006;327602;Sukatani
3276021007;327602;Harjamukti
3276021008;327602;Curug
3276021009;327602;Tugu
3276021010;327602;Mekarsari
3276021011;327602;Pasir Gunung Selatan
3276021012;327602;Cisalak Pasar
3276021013;327602;Jatijajar
3276031001;327603;Pasir Putih
3276031002;327603;Bedahan
3276031003;327603;Pengasinan
3276031004;327603;Duren Seribu
3276031005;327603;Bojongsari
3276031006;327603;Curug
3276031007;327603;Pondok Petir
3276031008;327603;Serua
3276031009;327603;Cinangka
3276031010;327603;Sawangan
3276031011;327603;Sawangan Baru
3276031012;327603;Kedaung
3276031013;327603;Bojongsari Baru
3276031014;327603;Duren Mekar
3276041001;327604;Maruyung
3276041002;327604;Grogol
3276041003;327604;Krukut
3276041004;327604;Limo
3276041005;327604;Cinere
3276041006;327604;Gandul
3276041007;327604;Pangkalan Jati
3276041008;327604;Pangkalan Jati Baru
3276051001;327605;Sukmajaya
3276051002;327605;Sukamaju
3276051003;327605;Abadi Jaya
3276051004;327605;Mekar Jaya
3276051005;327605;Baktijaya
3276051006;327605;Kalimulya
3276051007;327605;Kalibaru
3276051008;327605;Cisalak
3276051009;327605;Jatimulya
3276051010;327605;Tirtajaya
3276051011;327605;Cilodong
3276061001;327606;Beji
3276061002;327606;Kukusan
3276061003;327606;Tanah Baru
3276061004;327606;Kemiri Muka
3276061005;327606;Pondok Cina
3276061006;327606;Beji Timur
3276071001;327607;Cipayung
3276071002;327607;Cipayung Jaya
3276071003;327607;Ratu Jaya
3276071004;327607;Bojong Pondok  Terong
3276071005;327607;Pondok Jaya
3276081001;327608;Sukamaju
3276081002;327608;Cilodong
3276081003;327608;Kalibaru
3276081004;327608;Kalimulya
3276081005;327608;Jatimulya
3276091001;327609;Cinere
3276091002;327609;Gandul
3276091003;327609;Pangkalan Jati
3276091004;327609;Pangkalan Jati Baru
3276101001;327610;Tapos
3276101002;327610;Leuwinanggung
3276101003;327610;Sukatani
3276101004;327610;Sukamaju Baru
3276101005;327610;Jatijajar
3276101006;327610;Cilangkap
3276101007;327610;Cimpaeun
3276111001;327611;Bojongsari
3276111002;327611;Bojongsari Baru
3276111003;327611;Serua
3276111004;327611;Pondok Petir
3276111005;327611;Curug
3276111006;327611;Duren Mekar
3276111007;327611;Duren Seribu
