kd_kel,kd_kec,nm_kel
3204012001,320401,Kertamulya
3204012002,320401,Padalarang
3204012003,320401,Cimerang
3204012004,320401,Campaka Mekar
3204012005,320401,Tagogapu
3204012006,320401,Ciburuy
3204012007,320401,Kertajaya
3204012008,320401,Cipeundeuy
3204012009,320401,Jayamekar
3204012010,320401,Laksanamekar
3204022001,320402,Batujajar Timur
3204022002,320402,Batujajar Barat
3204022003,320402,Cikande
3204022004,320402,Galanggang
3204022005,320402,Cangkorah
3204022006,320402,Jati
3204022007,320402,Selacau
3204022008,320402,Pangauban
3204022009,320402,Girimukti
3204022010,320402,Giriasih
3204022011,320402,Bojonghaleuang
3204022012,320402,Cipangeran
3204022013,320402,Saguling
3204032001,320403,Ciptaharja
3204032002,320403,Cipatat
3204032003,320403,Citatah
3204032004,320403,Rajamandala Kulon
3204032005,320403,Mandalawangi
3204032006,320403,Kertamukti
3204032007,320403,Nyalindung
3204032008,320403,Gunungmasigit
3204032009,320403,Cirawamekar
3204032010,320403,Mandalasari
3204032011,320403,Sumur Bandung
3204032012,320403,Sarimukti
3204042001,320404,Ngamprah
3204042002,320404,Cimareme
3204042003,320404,Cilame
3204042004,320404,Tanimulya
3204042005,320404,Cimanggu
3204042006,320404,Bojongkoneng
3204042007,320404,Margajaya
3204042008,320404,Mekarsari
3204042009,320404,Gadobangkong
3204042010,320404,Sukatani
3204042011,320404,Pakuhaji
3204052001,320405,Cileunyi Kulon
3204052002,320405,Cileunyi Wetan
3204052003,320405,Cimekar
3204052004,320405,Cinunuk
3204052005,320405,CibiruHilir
3204052006,320405,CibiruWetan
3204061001,320406,adasuka
3204061002,320406,ibeunying
3204062003,320406,Cimenyan
3204062004,320406,Mandalamekar
3204062005,320406,Cikadut
3204062006,320406,Ciburial
3204062007,320406,Sindanglaya
3204062008,320406,Mekarsaluyu
3204062009,320406,Mekarmanik
3204072001,320407,Jatiendah
3204072002,320407,Cilengkrang
3204072003,320407,Cipanjalu
3204072004,320407,Melatiwangi
3204072005,320407,Ciporeat
3204072006,320407,Girimekar
3204082001,320408,Lengkong
3204082002,320408,Bojongsoang
3204082003,320408,Buahbatu
3204082004,320408,Cipagalo
3204082005,320408,Bojongsari
3204082006,320408,Tegalluar
3204092001,320409,MargahayuTengah
3204092002,320409,Magahayu Selatan
3204092003,320409,Sukamenak
3204091004,320409,Sulaiman
3204092005,320409,Sayati
3204102001,320410,Margaasih
3204102002,320410,Lagadar
3204102003,320410,Nanjung
3204102004,320410,Mekarrahayu
3204102005,320410,Rahayu
3204102006,320410,Cigondewah Hilir
3204112001,320411,Sangkanhurip
3204112002,320411,Katapang
3204112003,320411,Cingcin
3204112004,320411,Gandasari
3204112005,320411,Parungserab
3204112006,320411,Sukamukti
3204112007,320411,Cilampeni
3204112008,320411,Pangauban
3204112009,320411,Banyusari
3204112010,320411,Sekarwangi
3204121001,320412,Pasawahan
3204122002,320412,Dayeuhkolot
3204122003,320412,CangkuangWetan
3204122004,320412,CangkuangKulon
3204122005,320412,Sukapura
3204122006,320412,Citeureup
3204132001,320413,Kamasan
3204132002,320413,Banjaran Wetan
3204132003,320413,Banjaran Kulon
3204132004,320413,Cangkuang
3204132005,320413,Ciapus
3204132006,320413,Sindangpanon
3204132007,320413,Kiangroke
3204132008,320413,Tarajusari
3204132009,320413,Ciluncat
3204132010,320413,Nagrak
3204132011,320413,Bandasari
3204132012,320413,Mekarjaya
3204132013,320413,Margahurip
3204132014,320413,Pananjung
3204132015,320413,Jatisari
3204132016,320413,Neglasari
3204132017,320413,Tanjungsari
3204132018,320413,Pasirmulya
3204142001,320414,Sukasari
3204142002,320414,Bojongmanggu
3204142003,320414,Rancatungku
3204142004,320414,Bojongkunci
3204142005,320414,Rancamulya
3204142006,320414,Langonsari
3204152001,320415,Pangalengan
3204152002,320415,Margaluyu
3204152003,320415,Warnasari
3204152004,320415,Sukamanah
3204152005,320415,Lamajang
3204152006,320415,Margamukti
3204152007,320415,Margamulya
3204152008,320415,Banjarsari
3204152009,320415,Sukaluyu
3204152010,320415,Tribaktimulya
3204152011,320415,Pulosari
3204152012,320415,Wanasuka
3204152013,320415,Margamekar
3204162001,320416,Arjasari
3204162002,320416,Lebakwangi
3204162003,320416,Batukarut
3204162004,320416,Ancolmekar
3204162005,320416,Baros
3204162006,320416,Mangunjaya
3204162007,320416,Mekarjaya
3204162008,320416,Pinggirsari
3204162009,320416,Patrolsari
3204162010,320416,Rancakole
3204162011,320416,Wargaluyu
3204172001,320417,Cimaung
3204172002,320417,Jagabaya
3204172003,320417,Pasirhuni
3204172004,320417,Campakamulya
3204172005,320417,Cipinang
3204172006,320417,Mekarsari
3204172007,320417,Sukamaju
3204172008,320417,Cikalong
3204172009,320417,Malasari
3204172010,320417,Warjabakti
3204182001,320418,Cililin
3204182002,320418,Budiharja
3204182003,320418,Batulayang
3204182004,320418,Bongas
3204182005,320418,Cipatik
3204182006,320418,Citapen
3204182007,320418,Cihampelas
3204182008,320418,Karanganyar
3204182009,320418,Karangtanjung
3204182010,320418,Karyamukti
3204182011,320418,Kidangpananjung
3204182012,320418,Mekarjaya
3204182013,320418,Mekarnukti
3204182014,320418,Mukapayung
3204182015,320418,Nanggerang
3204182016,320418,Pataruman
3204182017,320418,Rancapanggung
3204182018,320418,Situwangi
3204182019,320418,Singajaya
3204182020,320418,Tanjungwangi
3204182021,320418,Tanjungjaya
3204192001,320419,Cintakarya
3204192002,320419,Sindangkerta
3204192003,320419,Buninagara
3204192004,320419,Cikadu
3204192005,320419,Cicangkanggirang
3204192006,320419,Mekarwangi
3204192007,320419,Pasirpogor
3204192008,320419,Puncaksari
3204192009,320419,Rancasenggang
3204192010,320419,Weninggalih
3204192011,320419,Wangunsari
3204202001,320420,Sarinagen
3204202002,320420,Baranangsiang
3204202003,320420,Citalem
3204202004,320420,Cijenuk
3204202005,320420,Cijambu
3204202006,320420,Cibenda
3204202007,320420,Cintaasih
3204202008,320420,Cicangkanghilir
3204202009,320420,Girimukti
3204202010,320420,Karangsari
3204202011,320420,Mekarsari
3204202012,320420,Neglasari
3204202013,320420,Sirnagalih
3204202014,320420,Sukamulya
3204212001,320421,Sirnajaya
3204212002,320421,Gununghalu
3204212003,320421,Bunijaya
3204212004,320421,Celak
3204212005,320421,Cilangari
3204212006,320421,Sindangjaya
3204212007,320421,Sukasari
3204212008,320421,Tamanjaya
3204212009,320421,Wargasaluyu
3204222001,320422,Cibedug
3204222002,320422,Bojong
3204222003,320422,Bojongsalam
3204222004,320422,Cibitung
3204222005,320422,Cicadas
3204222006,320422,Cinengah
3204222007,320422,Sukamanah
3204222008,320422,Sukaresmi
3204232001,320423,Ciptagumati
3204232002,320423,Cikalong
3204232003,320423,Cipada
3204232004,320423,Cisomangbarat
3204232005,320423,Ganjarsari
3204232006,320423,Kanangasari
3204232007,320423,Mandalasari
3204232008,320423,Mandalamukti
3204232009,320423,Mekarjaya
3204232010,320423,Puteran
3204232011,320423,Rende
3204232012,320423,Tenjolaut
3204232013,320423,Wangunjaya
3204242001,320424,Cipeundeuy
3204242002,320424,Ciharashas
3204242003,320424,Bojongmekar
3204242004,320424,Ciroyom
3204242005,320424,Jatimekar
3204242006,320424,Margalaksana
3204242007,320424,Margaluyu
3204242008,320424,Nanggeleng
3204242009,320424,Nyenang
3204242010,320424,Sirnajaya
3204242011,320424,Sirnagalih
3204242012,320424,Sukahaji
3204252001,320425,Cicalengka Kulon
3204252002,320425,Cicalengka Wetan
3204252003,320425,Babakan Peuteuy
3204252004,320425,Cikuya
3204252005,320425,Dampit
3204252006,320425,Margaasih
3204252007,320425,Narawita
3204252008,320425,Panenjoan
3204252009,320425,Tanjungwangi
3204252010,320425,Tenjolaya
3204252011,320425,Waluya
3204252012,320425,Nagrog
3204262001,320426,Nagreg
3204262002,320426,Bojong
3204262003,320426,Ciaro
3204262004,320426,Ciherang
3204262005,320426,Citaman
3204262006,320426,Mandalawangi
3204262007,320426,Nagreg Kendan
3204262008,320426,GanjarSabar
3204272001,320427,Mandalasari
3204272002,320427,Cikancung
3204272003,320427,Cikasungka
3204272004,320427,Cihanyir
3204272005,320427,Ciluluk
3204272006,320427,Hegarmanah
3204272007,320427,Mekarlaksana
3204272008,320427,Tanjunglaya
3204272009,320427,Srirahayu
3204282001,320428,Rancaekek Wetan
3204282002,320428,Rancaekek Kulon
3204282003,320428,Bojongsalam
3204282004,320428,Bojongloa
3204282005,320428,Jelegong
3204282006,320428,Linggar
3204282007,320428,Cangkuang
3204282008,320428,Haurpugur
3204282009,320428,Sukamanah
