kd_kec,kd_kab,nm_kec
320501,3205,Garut Kota
320502,3205,Karangpawitan
320503,3205,Wanaraja
320504,3205,Tarogong Kaler
320505,3205,Tarogong Kidul
320506,3205,Banyuresmi
320507,3205,Samarang
320508,3205,Pasirwangi
320509,3205,Leles
320510,3205,Kadungora
320511,3205,Leuwigoong
320512,3205,Cibatu
320513,3205,Kersamanah
320514,3205,Malangbong
320515,3205,Sukawening
320516,3205,Karangtengah
320517,3205,Bayongbong
320518,3205,Cigedug
320519,3205,Cilawu
320520,3205,Cisurupan
320521,3205,Sukaresmi
320522,3205,Cikajang
320523,3205,Banjarwangi
320524,3205,Singajaya
320525,3205,Cihurip
320526,3205,Peundeuy
320527,3205,Pameungpeuk
320528,3205,Cisompet
320529,3205,Cibalong
320530,3205,Cikelet
320531,3205,Bungbulang
320532,3205,Mekarmukti
320533,3205,Pakenjeng
320534,3205,Pamulihan
320535,3205,Cisewu
320536,3205,Caringin
320537,3205,Talegong
320538,3205,Bl. Limbangan
320539,3205,Selaawi
320540,3205,Cibiuk
320541,3205,Pangatikan
320542,3205,Sucinaraja
