kd_kel,kd_kec,nm_kel
3205011001,320501,Kota Kulon
3205011002,320501,Kota Wetan
3205011003,320501,Margawati
3205011004,320501,Pakuwon
3205011005,320501,Muara Sanding
3205011006,320501,Sukamentri
3205011007,320501,Ciwalen
3205011008,320501,Paminggir
3205011009,320501,Regol
3205011010,320501,Sukanegla
3205011011,320501,Cimuncang
3205021001,320502,Suci Kaler
3205021002,320502,Lebakjaya
3205021003,320502,Karangmulya
3205022004,320502,Karangpawitan
3205022005,320502,Situgede
3205022006,320502,Cimurah
3205022007,320502,Suci
3205022008,320502,Jatisari
3205022009,320502,Godog
3205022010,320502,Situsari
3205022011,320502,Karangsari
3205022012,320502,Sindangpalay
3205022013,320502,Lebakagung
3205021014,320502,Lengkongjaya
3205022015,320502,Sindanggalih
3205022016,320502,Mekarsari
3205022017,320502,Sindanglaya
3205022018,320502,Tanjungsari
3205022019,320502,Situsaeur
3205022020,320502,Situjaya
3205032001,320503,Wanaraja
3205032002,320503,Wanamekar
3205032003,320503,Cinunuk
3205032004,320503,Sadang
3205032005,320503,Sukaratu
3205032006,320503,Tenjonagara
3205032007,320503,Sukamenak
3205032008,320503,Sindangratu
3205032009,320503,Citangtu
3205032010,320503,Cimaragas
3205032011,320503,Wanajaya
3205032012,320503,Tegalpanjang
3205032013,320503,Babakan Loa
3205032014,320503,Sukahurip
3205032015,320503,Sindangmekar
3205032016,320503,Sukamulya
3205032017,320503,Cihuni
3205032018,320503,Cigadog
3205032019,320503,Wanasari
3205032020,320503,Sukarasa
3205032021,320503,Karangsari
3205032022,320503,Linggamukti
3205032023,320503,Sukalaksana
3205032024,320503,Sindangprabu
3205042001,320504,Sukajadi
3205042002,320504,Cimanganten
3205042003,320504,Jati
3205042004,320504,Rancabango
3205042005,320504,Sukawangi
3205042006,320504,Sirnajaya
3205042007,320504,Tanjung Kamuning
3205042008,320504,Mekarjaya
3205042009,320504,Langensari
3205042010,320504,Mekarwangi
3205042011,320504,Pasawahan
3205041012,320504,Pananjung
3205042013,320504,Panjiwangi
3205051001,320505,Pataruman
3205051002,320505,Sukagalih
3205052003,320505,Jayaraga
3205052004,320505,Haurpanggung
3205052005,320505,Cibunar
3205051006,320505,Jayawaras
3205052007,320505,Sukabakti
3205052008,320505,Tarogong
3205051009,320505,Sukakarya
3205052010,320505,Mekargalih
3205052011,320505,Kersamenak
3205051012,320505,Sukajaya
3205062001,320506,Banyuresmi
3205062002,320506,Cimareme
3205062003,320506,Sukaratu
3205062004,320506,Sukasenang
3205062005,320506,Sukaraja
