kd_kec;kd_kab;nm_kec
320101;3201;Cibinong
320102;3201;Gunung Putri
320103;3201;Citeureup
320104;3201;Sukaraja
320105;3201;Babakan Madang
320106;3201;Jonggol
320107;3201;Cileungsi
320108;3201;Cariu
320109;3201;Sukamakmur
320110;3201;Parung
320111;3201;Gunung Sindur
320112;3201;Kemang
320113;3201;Bojong Gede
320114;3201;Leuwiliang
320115;3201;Ciampea
320116;3201;Cibungbulang
320117;3201;Pamijahan
320118;3201;Rumpin
320119;3201;Jasinga
320120;3201;Parung Panjang
320121;3201;Nanggung
320122;3201;Cigudeg
320123;3201;Tenjo
320124;3201;Ciawi
320125;3201;Cisarua
320126;3201;Megamendung
320127;3201;Caringin
320128;3201;Cijeruk
320129;3201;Ciomas
320130;3201;Dramaga
320131;3201;Tamansari
320132;3201;Klapanunggal
320133;3201;Ciseeng
320134;3201;Ranca Bungur
320135;3201;Sukajaya
320136;3201;Tanjungsari
320137;3201;Tajurhalang
320138;3201;Cigombong
320139;3201;Leuwisadeng
320140;3201;Tenjolaya
