kd_kel;kd_kec;nm_kel
3201011001;320101;Pondok Rajeg
3201011002;320101;Karadenan
3201011003;320101;Harapanjaya
3201011004;320101;Nanggewer
3201011005;320101;Nanggewer Mekar
3201011006;320101;Cibinong
3201011007;320101;Pakansari
3201011008;320101;Tengah
3201011009;320101;Sukahati
3201011010;320101;Ciriung
3201011011;320101;Cirimekar
3201011012;320101;Pabuaran
3201022001;320102;Wanaherang
3201022002;320102;Bojong Kulur
3201022003;320102;Ciangsana
3201022004;320102;Gunung Putri
3201022005;320102;Bojong Nangka
3201022006;320102;Tlajung Udik
3201022007;320102;Cicadas
3201022008;320102;Cikeas Udik
3201022009;320102;Nagrak
3201022010;320102;Karanggan
3201032001;320103;Puspasari
3201032002;320103;Citeureup
3201032003;320103;Leuwinutung
3201032004;320103;Tajur
3201032005;320103;Sanja
3201031006;320103;Puspanegara
3201031007;320103;Karang Asem Barat
3201032008;320103;Karang Asem Timur
3201032009;320103;Tarikolot
3201032010;320103;Gunungsari
3201032011;320103;Tangkil
3201032012;320103;Sukahati
3201032013;320103;Hambalang
3201032014;320103;Pasir Mukti
3201042001;320104;Gununggeulis
3201042002;320104;Cilebut Timur
3201042003;320104;Cilebut Barat
3201042004;320104;Cibanon
3201042005;320104;Nagrak
3201042006;320104;Sukatani
3201042007;320104;Sukaraja
3201042008;320104;Cikeas
3201042009;320104;Pasir Jambu
3201042010;320104;Cimandala
3201042011;320104;Cijujung
3201042012;320104;Cadasngampar
3201042013;320104;Pasirlaya
3201052001;320105;Cijayanti
3201052002;320105;Sumurbatu
3201052003;320105;Sentul
3201052004;320105;Karang Tengah
3201052005;320105;Cipambuan
3201052006;320105;Kadumanggu
3201052007;320105;Citaringgul
3201052008;320105;Babakan Madang
3201052009;320105;Bojong Koneng
3201062001;320106;Sukamaju
3201062002;320106;Sirnagalih
3201062003;320106;Singa Jaya
3201062004;320106;Sukasirna
3201062005;320106;Sukanegara
3201062006;320106;Sukamanah
3201062007;320106;Weninggalih
3201062008;320106;Cibodas
3201062009;320106;Jonggol
3201062010;320106;Bendungan
3201062011;320106;Singasari
3201062012;320106;Balekambang
3201062013;320106;Sukajaya
3201062014;320106;Sukagalih
3201072001;320107;Pasirangin
3201072002;320107;Mekarsari
3201072003;320107;Mampir
3201072004;320107;Dayeuh
3201072005;320107;Gandoang
3201072006;320107;Jatisari
3201072007;320107;Cileungsi Kidul
3201072008;320107;Cipeucang
3201072009;320107;Situsari
3201072010;320107;Cipenjo
3201072011;320107;Limusnunggal
3201072012;320107;Cileungsi
3201082001;320108;Karyamekar
3201082002;320108;Babakan Raden
3201082003;320108;Cikutamahi
3201082004;320108;Kutamekar
3201082005;320108;Cariu
3201082006;320108;Mekarwangi
3201082007;320108;Bantarkuning
3201082008;320108;Sukajadi
3201082009;320108;Tegalpanjang
