kd_kec,kd_kab,nm_kec
320201,3202,Pelabuhanratu
320202,3202,Simpenan
320203,3202,Cikakak
320204,3202,Bantargadung
320205,3202,Cisolok
320206,3202,Cikidang
320207,3202,Lengkong
320208,3202,Jampang Tengah
320209,3202,Warung Kiara
320210,3202,Cikembar
320211,3202,Cibadak
320212,3202,Nagrak
320213,3202,Parungkuda
320214,3202,Bojonggenteng
320215,3202,Parakansalak
320216,3202,Cicurug
320217,3202,Cidahu
320218,3202,Kalapanunggal
320219,3202,Kabandungan
320220,3202,Waluran
320221,3202,Jampang Kulon
320222,3202,Ciemas
320223,3202,Kalibunder
320224,3202,Surade
320225,3202,Cibitung
320226,3202,Ciracap
320227,3202,Gunung Guruh
320228,3202,Cicantayan
320229,3202,Cisaat
320230,3202,Kadudampit
320231,3202,Caringin
320232,3202,Sukabumi
320233,3202,Sukaraja
320234,3202,Kebonpedes
320235,3202,Cireunghas
320236,3202,Sukalarang
320237,3202,Pabuaran
320238,3202,Purabaya
320239,3202,Nyalindung
320240,3202,Gegerbitung
320241,3202,Sagaranten
320242,3202,Curug Kembar
320243,3202,Cidolog
320244,3202,Cidadap
320245,3202,Tegal Buleud
320246,3202,Cimanggu
320247,3202,Ciambar
