kd_kel,kd_kec,nm_kel
3202011001,320201,Pelabuhanratu
3202012002,320201,Tonjong
3202012003,320201,Citepus
3202012004,320201,Buniwangi
3202012005,320201,Cibodas
3202012006,320201,Pasirsuren
3202012007,320201,Cikadu
3202012008,320201,Citarik
3202012009,320201,Cimanggu
3202012010,320201,Jayanti
3202022001,320202,Cidadap
3202022002,320202,Loji
3202022003,320202,Kertajaya
3202022004,320202,Cihaur
3202022005,320202,Cibuntu
3202022006,320202,Mekarasih
3202022007,320202,Sangrawayang
3202032001,320203,Cikakak
3202032002,320203,Cimaja
3202032003,320203,Ridogalih
3202032004,320203,Sukamaju
3202032005,320203,Cileungsing
3202032006,320203,Margalaksana
3202032007,320203,Sirnarasa
3202032008,320203,Gandasoli
3202032009,320203,Cirendang
3202042001,320204,Bantargadung
3202042002,320204,Mangunjaya
3202042003,320204,Bojonggaling
3202042004,320204,Limusnunggal
3202042005,320204,Bantargebang
3202042006,320204,Buanajaya
3202042007,320204,Boyong Sari
3202052001,320205,Cisolok
3202052002,320205,PasirBaru
3202052003,320205,Cikahuripan
3202052004,320205,Cikelat
3202052005,320205,Caringin
3202052006,320205,Gunungkaramat
3202052007,320205,Gunungtanjung
3202052008,320205,Karangpapak
3202052009,320205,Sirnaresmi
3202052010,320205,Cicadas
3202052011,320205,Wanajaya
3202052012,320205,Wangunsari
3202052013,320205,Sukarame
3202062001,320206,Cikidang
3202062002,320206,Cikiray
3202062003,320206,Gunungmalang
3202062004,320206,Pangkalan
3202062005,320206,Cicareuh
3202062006,320206,Taman Sari
3202062007,320206,Bumi Sari
3202062008,320206,Sampora
3202062009,320206,Nangkakoneng
3202062010,320206,Mekarnangka
3202062011,320206,Cijambe
3202062012,320206,Cikarae Thoyyibah
3202072001,320207,Lengkong
3202072002,320207,Cilangkap
3202072003,320207,Tegallega
3202072004,320207,Neglasari
3202072005,320207,Langkapjaya
3202082001,320208,JampangTengah
3202082002,320208,Padabeunghar
3202082003,320208,Bantarpanjang
3202082004,320208,Bojongjengkol
3202082005,320208,Nangerang
3202082006,320208,Tanjungsari
3202082007,320208,Sindangresmi
3202082008,320208,Panumbangan
3202082009,320208,Cijulang
3202082010,320208,Bantaragung
3202082011,320208,Bojongtipar
3202092001,320209,Warungkiara
3202092002,320209,Bojongkerta
3202092003,320209,Girijaya
3202092004,320209,Bantarkalong
3202092005,320209,Hegarmanah
3202092006,320209,Ubrug
3202092007,320209,Sirnajaya
3202092008,320209,Sukaharja
3202092009,320209,Kertamukti
3202092010,320209,Mekarjaya
3202092011,320209,Damarraja
3202092012,320209,Tarisi
3202102001,320210,Cikembar
3202102002,320210,Parakanlima
3202102003,320210,Bojong
3202102004,320210,Cimanggu
3202102005,320210,Bojongkembar
3202102006,320210,Sukamaju
3202102007,320210,Cibatu
3202102008,320210,Kertaraharja
3202102009,320210,Sukamulya
3202102010,320210,Bojongraharja
3202111001,320211,Cibadak
3202112002,320211,Sekarwangi
3202112003,320211,Pamuruyan
3202112004,320211,Karangtengah
3202112005,320211,Neglasari
3202112006,320211,Warnajati
3202112007,320211,Tenjojaya
3202112008,320211,Ciheulang Tonggoh
3202112009,320211,Sukasirna
3202112010,320211,Batununggal
3202122001,320212,Kalaparea
3202122002,320212,Pawenang
3202122003,320212,Nagrak Utara
3202122004,320212,Cisarua
3202122005,320212, Ciambar
3202122006,320212, Ginanjar
3202122007,320212,Wangunjaya
3202122008,320212, Munjul
3202122009,320212,Balekambang
3202122010,320212,Babakan Panjang
3202122011,320212,Darmareja
3202122012,320212,Cihanjawar
3202122013,320212,Nagrak Selatan
3202122014,320212,Girijaya
3202132001,320213,Parungkuda
3202132002,320213,Palasari Hilir
3202132003,320213,Kompa
3202132004,320213,Pondokkaso Landeuh
3202132005,320213,Sundawenang
3202132006,320213,Bojongkokosan
3202132007,320213,LangenSari
3202132008,320213,Babakanjaya
3202142001,320214,Bojonggenteng
3202142002,320214,Cibodas
3202142003,320214,Berkah
3202142004,320214,Cipanengah
3202142005,320214,Bojonggaling
3202152001,320215,Parakan Salak
3202152002,320215,Bojong Longok
3202152003,320215,Sukakersa
3202152004,320215,Sukatani
3202152005,320215,Bojong Asih
3202152006,320215,Lebaksari
3202161001,320216,Cicurug
3202162002,320216,Nyangkowek
3202162003,320216,Tenjolaya
3202162004,320216,Benda
3202162005,320216,Pasawahan
3202162006,320216,Cisaat
3202162007,320216,Purwasari
3202162008,320216,Caringin
3202162009,320216,Tenjoayu
3202162010,320216,Kutajaya
3202162011,320216,Mekarsari
3202162012,320216,Bangbayang
3202162013,320216,Nanggerang
3202172001,320217,Pondokaso Tonggoh
3202172002,320217,Babakan Pari
3202172003,320217,Pondokaso Tengah
3202172004,320217,Cidahu
3202172005,320217,Tangkil
3202172006,320217,Jayabakti
3202172007,320217,Girijaya
3202172008,320217,PasirDoton
3202182001,320218,Kalapanunggal
3202182002,320218,Palasari Girang
3202182003,320218,Pulosari
3202182004,320218,Makasari
3202182005,320218,Kadununggal
3202182006,320218,Walang Sari
3202182007,320218,Gunungendut
3202192001,320219,Kabandungan
3202192002,320219,Cipeuteuy
3202192003,320219,Cihamerang
3202192004,320219,Tugubandung
3202192005,320219,Mekar Jaya
3202192006,320219,Cianaga
3202202001,320220,Waluran
3202202002,320220,Sukamukti
3202202003,320220,Caringinnunggal
3202202004,320220,Mekar Mukti
3202202005,320220,Mangunjaya
3202202006,320220,Waluran Mandiri
3202211001,320221,Jampang Kulon
3202212002,320221,Bojonggenteng
3202212003,320221,Cikarang
3202212004,320221, Cimanggu
3202212005,320221,Bojong Sari
3202212006,320221, Sukamaju
3202212007,320221,Nagrak Sari
3202212008,320221,Mekarjaya
3202212009,320221,Tanjung
3202212010,320221, Boregah Indah
3202212011,320221,Ciparay
3202212012,320221, Sukajadi
3202212013,320221,Padajaya
3202212014,320221,Karanganyar
3202212015,320221, Karang Mekar
3202212016,320221,Cikaranggeusan
3202222001,320222,Ciemas
3202222002,320222,Cibenda
3202222003,320222,Ciwaru
3202222004,320222,Mekarjaya
3202222005,320222,Giri Mukti
3202222006,320222,Tamanjaya
3202222007,320222,Mandrajaya
3202222008,320222,Sidamulya
3202222009,320222,Mekarsakti
3202232001,320223,Kalibunder
3202232002,320223,Bojong
3202232003,320223,Cimahpar
3202232004,320223,Sekarsari
3202232005,320223,Sukaluyu
3202232006,320223,Balekambang
3202232007,320223,Mekarwangi
3202242001,320224,Jagamukti
3202242002,320224,Citanglar
3202242003,320224,Wanasari
3202242004,320224, Swakarya
3202242005,320224,Sirnasari
3202242006,320224,Kadaleman
3202242007,320224,Gunungsungging
3202242008,320224,Cipeundeuy
3202242009,320224,PasirIpis
3202242010,320224,Buniwangi
3202242011,320224,Sukatani
3202242012,320224,Kademangan
3202241013,320224,Surade
3202252001,320225,Talagamurni
3202252002,320225,Banyumurni
3202252003,320225,Cibitung
3202252004,320225,Cidahu
3202252005,320225,Cibodas
3202252006,320225,Banyuwangi
3202262001,320226,Ciracap
3202262002,320226,Cikangkung
3202262003,320226,Gunungbatu
3202262004,320226,Purwasedar
3202262005,320226,Pasirpanjang
3202262006,320226,Mekarsari
3202262007,320226,Ujung Genteng
3202262008,320226,Pangumbahan
3202272001,320227,Cikujang
3202272002,320227,Gunungguruh
3202272003,320227,Cibentang
3202272004,320227,Sirnaresmi
3202272005,320227,Kebonmanggu
3202272006,320227,Cibolang
3202272007,320227,Mangkalaya
3202282001,320228,Cicantayan
3202282002,320228,Lembursawah
3202282003,320228,Cijalingan
3202282004,320228,Cisande
3202282005,320228,Cimahi
3202282006,320228,Hegarmanah
3202282007,320228,Sikadamai
3202282008,320228,Cimanggis
3202292001,320229,Gunungjaya
3202292002,320229,Sukasari
3202292003,320229,Sukamanah
3202292004,320229,Cisaat
3202292005,320229,Nagrak
3202292006,320229,Babakan
3202292007,320229,Sukamantri
3202292008,320229,Cibatu
3202292009,320229,Selajambe
3202292010,320229,Padaasih
3202292011,320229,Cibolang Kaler
3202292012,320229,Kutasirna
3202292013,320229,Sukaresmi
3202302001,320230,Kadudampit
