kd_kec,kd_kab,nm_kec
320301,3203,Cianjur
320302,3203,Warungkondang
320303,3203,Cibeber
320304,3203,Cilaku
320305,3203,Ciranjang
320306,3203,Bojongpicung
320307,3203,Karangtengah
320308,3203,Mande
320309,3203,Sukaluyu
320310,3203,Pacet
320311,3203,Cugenang
320312,3203,Cikalongkulon
320313,3203,Sukaresmi
320314,3203,Sukanagara
320315,3203,Campaka
320316,3203,Takokak
320317,3203,Kadupandak
320318,3203,Pagelaran
320319,3203,Tanggeung
320320,3203,Cibinong
320321,3203,Sindangbarang
320322,3203,Agrabinta
320323,3203,Cidaun
320324,3203,Naringgul
320325,3203,Campakamulya
320326,3203,Cikadu
320327,3203,Gekbrong
320328,3203,Cipanas
320329,3203,Cijati
320330,3203,Leles
320331,3203,Haurwangi
320332,3203,Pasirkuda
