kd_kel,kd_kec,nm_kel
3203012001,320301,Babakan Karet
3203012002,320301,Nagrak
3203012003,320301,Sukamaju
3203012004,320301,Mekarsari
3203012005,320301,Limbangansari
3203011006,320301,Pamoyanan
3203011007,320301,Sawahgede
3203011008,320301,Bojongherang
3203011009,320301,Sayang
3203011010,320301,Solokpandan
3203011011,320301,Muka
3203022001,320302,Bangbayang
3203022002,320302,Jambudipa
3203022003,320302,Songgom
3203022004,320302,Sukaratu
3203022005,320302,Cikancana
3203022006,320302,Cisarandi
3203022007,320302,Cikaroya
3203022008,320302,Bunikasih
3203022009,320302,Ciwalen
3203022010,320302,Tegallega
3203022011,320302,Sukawangi
3203022012,320302,Kebonpeuteuy
3203022013,320302,Gekbrong
3203022014,320302,Bunisari
3203022015,320302,Cikahuripan
3203022016,320302,Sukamulya
3203022017,320302,Cieundeur
3203022018,320302,Mekarwangi
3203022019,320302,Cintaasih
3203032001,320303,Cipetir
3203032002,320303,Cihaur
3203032003,320303,Cimanggu
3203032004,320303,Cibaregbeg
3203032005,320303,Sukaraharja
3203032006,320303,Peuteuycondong
3203032007,320303,Mayak
3203032008,320303,Cikondang
3203032009,320303,Cibokor
3203032010,320303,Selagedang
3203032011,320303,Karangnunggal
3203032012,320303,Kanoman
3203032013,320303,Sukamaju
3203032014,320303,Girimulya
3203032015,320303,Cisalak
3203032016,320303,Cibadak
3203032017,320303,Sukamanah
3203032018,320303,Salamnunggal
3203042001,320304,Rancagoong
3203042002,320304,Sukasari
3203042003,320304,Sirnagalih
3203042004,320304,Sukakerta
3203042005,320304,Cibinonghilir
3203042006,320304,Rahong
3203042007,320304,Munjul
3203042008,320304,Sindangsari
3203042009,320304,Ciharashas
3203042010,320304,Mulyasari
3203052001,320305,Ciranjang
3203052002,320305,Sindangjaya
3203052003,320305, Cipeuyeum
3203052004,320305,Cibiuk
3203052005,320305,Gunungsari
3203052006,320305,Karangwangi
3203052007,320305,Nanggalamekar
3203052008,320305,Kertajaya
3203052009,320305,Sindangsari
3203052010,320305,Kertamukti
3203052011,320305,Mekarwangi
3203052012,320305,Mekargalih
3203062001,320306,Hegarmanah
3203062002,320306,Bojongpicung
3203062003,320306,Sukarindik
3203062004,320306,Cibarengkok
3203062005,320306,Cihea
3203062006,320306,Kemang
3203062007,320306,Sukajaya
3203062008,320306,Jati
3203062009,320306,Cikondang
3203062010,320306,Sukarama
3203062011,320306,Ramasari
3203062012,320306,Sukaratu
3203062013,320306,Neglasari
3203062014,320306,Jatisari
3203062015,320306,Mekarwangi/Sukatani
3203062016,320306,Kertasari
3203072001,320307,Sukamanah
3203072002,320307,Bojong
3203072003,320307,Sindanglaka
3203072004,320307,Maleber
3203072005,320307,Ciherang
3203072006,320307,Sukamantri
3203072007,320307,Sukasarana
3203072008,320307,Sukasari
3203072009,320307,Babakancaringin
3203072010,320307,Sabandar
3203072011,320307,Sindangasih
3203072012,320307,Sukataris
3203072013,320307,Langensari
3203072014,320307,Hegarmanah
3203072015,320307,Sukajadi
3203072016,320307,Sukamulya
3203082001,320308,Kademangan
3203082002,320308,Bobojong
3203082003,320308,Jamali
3203082004,320308,Cikidangbayabang
3203082005,320308,Mande
3203082006,320308,Mulyasari
3203082007,320308,Ciandam
3203082008,320308,Sukamanah
3203082009,320308,Leuwikoja
3203082010,320308,Mekarjaya
3203082011,320308,Kutawaringin
3203082012,320308,Murnisari
3203092001,320309,Selajambe
3203092002,320309,Sukamulya
3203092003,320309,Panyusuhan
3203092004,320309,Tanjungsari
3203092005,320309,Sidangraja
3203092006,320309,Mekarjaya
3203092007,320309,Sukasirna
3203092008,320309,Sukaluyu
3203092009,320309,Babakansari
3203092010,320309,Hegarmanah
3203102001,320310,Ciherang
3203102002,320310,Cipanas
3203102003,320310,Cibodas
3203102004,320310,Cimacan
3203102005,320310,Sukanagalih
3203102006,320310,Ciloto
3203102007,320310,Cipendawa
3203102008,320310,Sindanglaya
3203102009,320310,Batulawang
3203102010,320310,Ciputri
3203102011,320310,Palasari
3203102012,320310,Gadog
3203102013,320310,Sukatani
3203102014,320310,Sindangjaya
3203112001,320311,Sukamanah
3203112002,320311,Gasol
3203112003,320311,Cijedil
3203112004,320311,Cibeureum
3203112005,320311,Nyalindung
3203112006,320311,Mangunkerta
