kd_kel,kd_kec,nm_kel
3271011001,327101,Batu Tulis
3271011002,327101,Bondongan
3271011003,327101,Empang
3271011004,327101,Lawanggintung
3271011005,327101,Pamoyanan
3271011006,327101,Ranggamekar
3271011007,327101,Mulyaharja
3271011008,327101,Cikaret
3271011009,327101,Bojongkerta
3271011010,327101,Rancamaya
3271011011,327101,Kertamaya
3271011012,327101,Harjasari
3271011013,327101,Muarasari
3271011014,327101,Genteng
3271011015,327101,Pakuan
3271011016,327101,Cipaku
3271021001,327102,Sukasari
3271021002,327102,Baranangsiang
3271021003,327102,Katulampa
3271021004,327102,Sindangsari
3271021005,327102,Sindangrasa
3271021006,327102,Tajur
3271031001,327103,Gudang
3271031002,327103,Paledang
3271031003,327103,Pabaton
3271031004,327103,Cibogor
3271031005,327103,Babakan
3271031006,327103,Sempur
3271031007,327103,Tegallega
3271031008,327103,Babakan Pasar
3271031009,327103,Panaragan
3271031010,327103,Ciwaringin
3271031011,327103,Kebon Kalapa
3271041001,327104,Menteng
3271041002,327104,Sindang Barang
3271041003,327104,Bubulak
3271041004,327104,Margajaya
3271041005,327104,Balumbang Jaya
3271041006,327104,Situ Gede
3271041007,327104,Semplak
3271041008,327104,Cilendek Barat
3271041009,327104,Cilendek Timur
3271041010,327104,Curug Mekar
3271041011,327104,Curug
3271041012,327104,Pasir Jaya
3271041013,327104,Pasir Kuda
3271041014,327104,Pasir Mulya
3271041015,327104,Gunung Batu
3271041016,327104,Loji
3271051001,327105,Bantarjati
3271051002,327105,Tegal Gundil
3271051003,327105,Kedung Halang
3271051004,327105,Ciparigi
3271051005,327105,Cibuluh
3271051006,327105,Ciluar
3271051007,327105,Tanah Baru
3271051008,327105,Cimahpar
3271061001,327106,Tanah Sareal
3271061002,327106,Kebon Pedes
3271061003,327106,Kedung Badak
3271061004,327106,Sukaresmi
3271061005,327106,Kedung Waringin
3271061006,327106,Kedung Jaya
3271061007,327106,Sukadamai
3271061008,327106,Mekar Wangi
3271061009,327106,Kencana
3271061010,327106,Kayu Manis
3271061011,327106,Cibadak
